"","schedule_playoff","win_loss","home_fav","schedule_season","schedule_week","spread_favorite","over_under_line","weather_wind_mph","fav_elo_diff","team_favorite_id"
"1",FALSE,"underdog","home_underdog",1985,10,-2.5,47.5,8,136.822375,"ARI"
"2",FALSE,"underdog","home_underdog",1985,6,-3.5,41.5,10,13.378125,"ARI"
"3",FALSE,"fav","home_fav",1985,15,-8.5,39.5,7,110.388618055556,"LAR"
"4",FALSE,"fav","home_fav",1985,7,-4,44,10,36.2750624999999,"PIT"
"5",FALSE,"fav","home_fav",1985,3,-1.5,40,13,101.123395833333,"NYG"
"6",FALSE,"underdog","home_underdog",1985,5,-2,47,7,82.0661250000001,"ARI"
"7",FALSE,"fav","home_underdog",1985,1,-2.5,40.5,10,-15.8423819444445,"ARI"
"8",FALSE,"fav","home_fav",1985,13,-13,40,12,88.4015486111111,"DAL"
"9",FALSE,"fav","home_fav",1985,2,-14,45,17,307.110916666667,"SF"
"10",FALSE,"underdog","home_fav",1985,16,-6,44,0,62.4316249999999,"NO"
"11",FALSE,"fav","home_fav",1985,12,-16,40.5,11,323.204458333333,"CHI"
"12",FALSE,"fav","home_fav",1985,10,-8.5,39.5,16,102.2851875,"PHI"
"13",FALSE,"fav","home_fav",1985,8,-13,45.5,11,204.064861111111,"DAL"
"14",FALSE,"fav","home_fav",1985,4,-10,45,8,226.051930555555,"LAR"
"15",FALSE,"fav","home_fav",1985,6,-14.5,48.5,0,217.646625,"SEA"
"16",FALSE,"fav","home_fav",1985,14,-3.5,43,6,151.4831875,"KC"
"17",FALSE,"fav","home_fav",1985,6,-10,44,12,246.422337752525,"NE"
"18",FALSE,"fav","home_fav",1985,5,-3.5,38.5,0,52.8630624999998,"IND"
"19",FALSE,"fav","home_fav",1985,8,-9,36.5,11,149.256625,"PHI"
"20",FALSE,"fav","home_fav",1985,11,-8,35,16,178.477131944444,"CLE"
"21",FALSE,"fav","home_fav",1985,2,-3.5,40,10,222.638701388889,"NYJ"
"22",FALSE,"fav","home_fav",1985,13,-10,44.5,6,178.8574375,"LAC"
"23",FALSE,"fav","home_fav",1985,15,-10,38,14,198.9098125,"PIT"
"24",FALSE,"fav","home_fav",1985,16,-17.5,41,12,324.5614375,"MIA"
"25",FALSE,"fav","home_underdog",1985,9,-9,41.5,11,195.571520833333,"CHI"
